Time,source1,source2,source3
1800,0,0,0
3600,0,0,0
5400,0,0,0
7200,0,0,0
9000,0,0,0
10800,0,0,0
12600,0,0,0
14400,0,0,0
16200,0,0,0
18000,0,0,0
19800,0,0,0
21600,0,0,0
23400,0,0,0
25200,0,0,0
27000,0,0,0
28800,0,0,3
30600,1,2,0
32400,1,2,0
34200,1,2,0
36000,1,2,0
37800,1,2,1
39600,1,2,0
41400,1,2,0
43200,0,0,3
45000,0,0,0
46800,0,0,0
48600,2,1,0
50400,2,1,0
52200,2,1,0
54000,2,1,1
55800,2,1,0
57600,2,1,0
59400,2,1,0
61200,2,1,0
63000,2,1,0
64800,0,0,3
66600,0,0,3
68400,0,0,0
70200,0,0,0
72000,0,0,0
73800,0,0,0
75600,0,0,0
77400,0,0,0
79200,0,0,0
81000,0,0,0
82800,0,0,0
84600,0,0,0
86400,0,0,0
